31,Myrtle,Angelina,Projekt Red,Gravel,Eyjafjalla
30,Myrtle,Angelina,Saria,Feater,Silverash
29,Myrtle,Saria,Feater,Lappland,Silverash
28,Myrtle,Saria,Lappland,Silverash,Hoshiguma
28,Myrtle,Projekt Red,Gravel,Eyjafjalla,Firewatch
27,Myrtle,Angelina,Saria,Feater,Lappland
27,Myrtle,Angelina,Gravel,Eyjafjalla,Ifrit
26,Myrtle,Angelina,Saria,Lappland,Silverash
26,Myrtle,Angelina,Feater,Lappland,Silverash
26,Myrtle,Angelina,Projekt Red,Eyjafjalla,Ifrit
26,Saria,Lappland,Silverash,Hoshiguma,Ch'en
25,Myrtle,Angelina,Projekt Red,Gravel,Ifrit
25,Myrtle,Gravel,Eyjafjalla,Ifrit,Firewatch
25,Angelina,Projekt Red,Gravel,Eyjafjalla,Ifrit
25,Saria,Feater,Lappland,Silverash,Hoshiguma
24,Myrtle,Projekt Red,Gravel,Ifrit,Firewatch
24,Myrtle,Projekt Red,Eyjafjalla,Ifrit,Firewatch
24,Projekt Red,Gravel,Eyjafjalla,Ifrit,Firewatch
23,Myrtle,Projekt Red,Gravel,Eyjafjalla,Mostima
22,Angelina,Saria,Feater,Lappland,Hoshiguma
22,Angelina,Saria,Lappland,Silverash,Hoshiguma
22,Angelina,Feater,Lappland,Silverash,Hoshiguma
22,Projekt Red,Gravel,Eyjafjalla,Ifrit,Mostima
21,Myrtle,Saria,Feater,Silverash,Hellagur
21,Myrtle,Saria,Lappland,Silverash,Ch'en
21,Myrtle,Gravel,Eyjafjalla,Ifrit,Mostima
21,Angelina,Saria,Feater,Silverash,Hoshiguma
21,Saria,Feater,Lappland,Silverash,Ch'en
21,Myrtle,Saria,Lappland,Silverash,Hellagur
20,Myrtle,Angelina,Saria,Feater,Hellagur
20,Myrtle,Angelina,Saria,Silverash,Hellagur
20,Myrtle,Angelina,Feater,Silverash,Hellagur
20,Myrtle,Saria,Feater,Lappland,Hoshiguma
20,Myrtle,Saria,Lappland,Hoshiguma,Ch'en
20,Myrtle,Projekt Red,Gravel,Ifrit,Mostima
20,Myrtle,Projekt Red,Eyjafjalla,Ifrit,Mostima
20,Angelina,Saria,Feater,Lappland,Hellagur
20,Angelina,Saria,Feater,Silverash,Hellagur
20,Angelina,Saria,Lappland,Silverash,Ch'en
